selected_row,pooled_source_row,trial_id,plane_index,cluster_index,correlation
170,64651,04032024_6f_a2_r5,5,651,0.10123579728568287
171,176626,04192024_6f_a1_r2,7,626,0.081120652596004469
172,184023,04192024_6f_a1_r2,11,23,0.076755098114416831
173,232662,04192024_6f_a1_r6,8,662,0.11122379081538088
176,80030,04032024_6f_a2_r5,13,30,0.083481784173718321
177,224068,04192024_6f_a1_r6,4,68,0.11354979791515138
178,178912,04192024_6f_a1_r2,8,912,0.072714540933274813
179,58031,04032024_6f_a2_r5,2,31,0.097405080751581483
180,162132,04192024_6f_a1_r2,0,132,0.10197668931547706
181,118905,04162024_6f_a1_r1,5,905,0.070985132951150304
182,172058,04192024_6f_a1_r2,5,58,0.093950019473339724
183,112130,04162024_6f_a1_r1,2,130,0.076385928624500193
184,168200,04192024_6f_a1_r2,3,200,0.066371007708508539
185,90159,04032024_6f_a2_r5,18,159,0.082012964093572199
186,282475,04192024_6f_a1_r9,6,475,0.036894041475335135
187,180239,04192024_6f_a1_r2,9,239,0.081416093552748398
188,188462,04192024_6f_a1_r2,13,462,0.099709390341551407
189,229580,04192024_6f_a1_r6,6,1580,0.055185234078942366
192,62570,04032024_6f_a2_r5,4,570,0.080000035144181719
194,112408,04162024_6f_a1_r1,2,408,0.053116701613828497
195,60817,04032024_6f_a2_r5,3,817,0.08895837928594913
197,74744,04032024_6f_a2_r5,10,744,0.10217115601496767
198,168612,04192024_6f_a1_r2,3,612,0.08132901875161043
201,98271,04032024_6f_a2_r5,22,271,0.078946179530675703
202,282794,04192024_6f_a1_r9,6,794,0.052166714106330281
204,115842,04162024_6f_a1_r1,3,1842,0.081756180999376205
205,72877,04032024_6f_a2_r5,9,877,0.10791252861226691
206,276168,04192024_6f_a1_r9,3,168,0.055188231327768296
208,299205,04192024_6f_a1_r9,14,1205,0.058356271495825875
209,60838,04032024_6f_a2_r5,3,838,0.079013819339973548
211,81025,04032024_6f_a2_r5,13,1025,0.081068912085080602
212,80320,04032024_6f_a2_r5,13,320,0.075275824334778862
213,72219,04032024_6f_a2_r5,9,219,0.081802567932887343
214,281850,04192024_6f_a1_r9,5,1850,0.069949097969415799
215,83908,04032024_6f_a2_r5,14,1908,0.068220310660718125
216,110100,04162024_6f_a1_r1,1,100,0.061237932400227575
220,166123,04192024_6f_a1_r2,2,123,0.11102648040413304
221,80718,04032024_6f_a2_r5,13,718,0.085023109571111158
224,228400,04192024_6f_a1_r6,6,400,0.08898906545171445
225,115074,04162024_6f_a1_r1,3,1074,0.075719884480572514
226,64982,04032024_6f_a2_r5,5,982,0.0768130436091016
227,231222,04192024_6f_a1_r6,7,1222,0.085744464013354213
230,88477,04032024_6f_a2_r5,17,477,0.077181746003702908
231,58240,04032024_6f_a2_r5,2,240,0.11857144965474849
232,74439,04032024_6f_a2_r5,10,439,0.10041680215415694
235,62993,04032024_6f_a2_r5,4,993,0.12183395679163128
