label,count,+1,0,-1,entropy,purity
APL fragment_L,1,1,0,0,-0.000000,1.000000
APL or DPM,1,1,0,0,-0.000000,1.000000
APL_R,1,1,0,0,-0.000000,1.000000
ATL001_R,1,1,0,0,-0.000000,1.000000
ATL002_R,1,1,0,0,-0.000000,1.000000
ATL003_R,1,1,0,0,-0.000000,1.000000
ATL004(ADL29)_L,1,1,0,0,-0.000000,1.000000
ATL004_R,1,1,0,0,-0.000000,1.000000
ATL005(ADM02)_L,1,1,0,0,-0.000000,1.000000
ATL005_R,1,1,0,0,-0.000000,1.000000
ATL006(ADM04)_L,1,1,0,0,-0.000000,1.000000
ATL006_R,1,1,0,0,-0.000000,1.000000
ATL007(ADM10)_L,1,1,0,0,-0.000000,1.000000
ATL007_R,1,1,0,0,-0.000000,1.000000
ATL008(AVL23)_L,1,1,0,0,-0.000000,1.000000
ATL008_R,1,1,0,0,-0.000000,1.000000
ATL009_R,3,3,0,0,-0.000000,1.000000
ATL010_R,2,2,0,0,-0.000000,1.000000
ATL011(PDL05)_L,1,1,0,0,-0.000000,1.000000
ATL011_R,1,1,0,0,-0.000000,1.000000
ATL012(PDL05)_L,2,2,0,0,-0.000000,1.000000
ATL012_R,2,2,0,0,-0.000000,1.000000
ATL013(PDL05)_L,1,1,0,0,-0.000000,1.000000
ATL013_R,2,2,0,0,-0.000000,1.000000
ATL014(PDL06)_L,1,1,0,0,-0.000000,1.000000
ATL014_R,1,1,0,0,-0.000000,1.000000
ATL015_R,1,1,0,0,-0.000000,1.000000
ATL016(PDL06)_L,1,1,0,0,-0.000000,1.000000
ATL016_R,1,1,0,0,-0.000000,1.000000
ATL017(PDL16)_L,1,1,0,0,-0.000000,1.000000
ATL017_R,1,1,0,0,-0.000000,1.000000
ATL018(PDL20)_L,2,2,0,0,-0.000000,1.000000
ATL018_R,2,2,0,0,-0.000000,1.000000
ATL019_R,1,1,0,0,-0.000000,1.000000
ATL020_R,2,2,0,0,-0.000000,1.000000
ATL021_R,1,1,0,0,-0.000000,1.000000
ATL022_R,1,1,0,0,-0.000000,1.000000
ATL023_R,1,1,0,0,-0.000000,1.000000
ATL024_R,1,1,0,0,-0.000000,1.000000
ATL025(PDM13)_L,1,1,0,0,-0.000000,1.000000
ATL025_R,1,1,0,0,-0.000000,1.000000
ATL026(PDM13)_L,1,1,0,0,-0.000000,1.000000
ATL026_R,1,1,0,0,-0.000000,1.000000
ATL027(PDM13)_L,1,1,0,0,-0.000000,1.000000
ATL027_R,1,1,0,0,-0.000000,1.000000
