label,count,+1,0,-1,entropy,purity
AVLP060,4,4,0,0,-0.000000,1.000000
AVLP061,4,4,0,0,-0.000000,1.000000
AVLP062,2,2,0,0,-0.000000,1.000000
AVLP063,2,2,0,0,-0.000000,1.000000
AVLP064,3,3,0,0,-0.000000,1.000000
AVLP065,2,2,0,0,-0.000000,1.000000
AVLP066,2,2,0,0,-0.000000,1.000000
AVLP067,1,1,0,0,-0.000000,1.000000
AVLP068,2,2,0,0,-0.000000,1.000000
AVLP069_a,3,3,0,0,-0.000000,1.000000
AVLP069_b,4,4,0,0,-0.000000,1.000000
AVLP069_c,2,2,0,0,-0.000000,1.000000
AVLP070,1,1,0,0,-0.000000,1.000000
AVLP071,2,2,0,0,-0.000000,1.000000
AVLP072_a,2,2,0,0,-0.000000,1.000000
AVLP072_b,2,2,0,0,-0.000000,1.000000
AVLP073,1,1,0,0,-0.000000,1.000000
AVLP074,1,1,0,0,-0.000000,1.000000
AVLP075,2,2,0,0,-0.000000,1.000000
AVLP076,1,1,0,0,-0.000000,1.000000
AVLP077,1,1,0,0,-0.000000,1.000000
AVLP078,1,1,0,0,-0.000000,1.000000
AVLP079,1,1,0,0,-0.000000,1.000000
AVLP080,1,1,0,0,-0.000000,1.000000
AVLP081,1,1,0,0,-0.000000,1.000000
AVLP082,1,1,0,0,-0.000000,1.000000
AVLP083,1,1,0,0,-0.000000,1.000000
AVLP084,1,1,0,0,-0.000000,1.000000
AVLP085,1,1,0,0,-0.000000,1.000000
AVLP086,1,1,0,0,-0.000000,1.000000
AVLP087,1,1,0,0,-0.000000,1.000000
AVLP088,1,1,0,0,-0.000000,1.000000
AVLP089,2,2,0,0,-0.000000,1.000000
AVLP090,1,1,0,0,-0.000000,1.000000
AVLP091,1,1,0,0,-0.000000,1.000000
AVLP092,2,2,0,0,-0.000000,1.000000
AVLP093,1,1,0,0,-0.000000,1.000000
AVLP094,1,1,0,0,-0.000000,1.000000
AVLP095,1,1,0,0,-0.000000,1.000000
AVLP096,2,2,0,0,-0.000000,1.000000
AVLP097,1,1,0,0,-0.000000,1.000000
AVLP098,1,1,0,0,-0.000000,1.000000
AVLP099,2,2,0,0,-0.000000,1.000000
AVLP100,1,1,0,0,-0.000000,1.000000
AVLP101,1,1,0,0,-0.000000,1.000000
AVLP102,1,1,0,0,-0.000000,1.000000
AVLP103,4,4,0,0,-0.000000,1.000000
AVLP104,6,6,0,0,-0.000000,1.000000
AVLP105,2,2,0,0,-0.000000,1.000000
AVLP106,1,1,0,0,-0.000000,1.000000
AVLP107,3,3,0,0,-0.000000,1.000000
AVLP108,1,1,0,0,-0.000000,1.000000
AVLP109,2,2,0,0,-0.000000,1.000000
AVLP110,4,4,0,0,-0.000000,1.000000
AVLP111,7,7,0,0,-0.000000,1.000000
AVLP112,3,3,0,0,-0.000000,1.000000
AVLP113,2,2,0,0,-0.000000,1.000000
AVLP114,2,2,0,0,-0.000000,1.000000
AVLP115,5,5,0,0,-0.000000,1.000000
AVLP116,2,2,0,0,-0.000000,1.000000
AVLP117,5,5,0,0,-0.000000,1.000000
AVLP118,1,1,0,0,-0.000000,1.000000
AVLP119,1,1,0,0,-0.000000,1.000000
AVLP120,3,3,0,0,-0.000000,1.000000
AVLP121,2,2,0,0,-0.000000,1.000000
AVLP122,5,5,0,0,-0.000000,1.000000
AVLP123,2,2,0,0,-0.000000,1.000000
AVLP124,3,3,0,0,-0.000000,1.000000
AVLP125,3,3,0,0,-0.000000,1.000000
AVLP126,5,5,0,0,-0.000000,1.000000
AVLP127,4,4,0,0,-0.000000,1.000000
AVLP128,2,2,0,0,-0.000000,1.000000
AVLP129,2,2,0,0,-0.000000,1.000000
AVLP130,2,2,0,0,-0.000000,1.000000
AVLP131,2,2,0,0,-0.000000,1.000000
AVLP132,1,1,0,0,-0.000000,1.000000
AVLP133,2,2,0,0,-0.000000,1.000000
AVLP134,3,3,0,0,-0.000000,1.000000
AVLP135,2,2,0,0,-0.000000,1.000000
AVLP136,2,2,0,0,-0.000000,1.000000
AVLP137,4,4,0,0,-0.000000,1.000000
AVLP138,2,2,0,0,-0.000000,1.000000
AVLP139,3,3,0,0,-0.000000,1.000000
AVLP140,1,1,0,0,-0.000000,1.000000
AVLP141,7,7,0,0,-0.000000,1.000000
AVLP142,2,2,0,0,-0.000000,1.000000
AVLP143,2,2,0,0,-0.000000,1.000000
AVLP144,3,3,0,0,-0.000000,1.000000
AVLP145,5,5,0,0,-0.000000,1.000000
AVLP146,2,2,0,0,-0.000000,1.000000
AVLP147,1,1,0,0,-0.000000,1.000000
AVLP148,1,1,0,0,-0.000000,1.000000
AVLP149,6,6,0,0,-0.000000,1.000000
AVLP150,1,1,0,0,-0.000000,1.000000
AVLP151,1,1,0,0,-0.000000,1.000000
AVLP152,1,1,0,0,-0.000000,1.000000
AVLP153,1,1,0,0,-0.000000,1.000000
AVLP154,1,1,0,0,-0.000000,1.000000
AVLP155,2,2,0,0,-0.000000,1.000000
AVLP156,1,1,0,0,-0.000000,1.000000
AVLP157,1,1,0,0,-0.000000,1.000000
AVLP158,1,1,0,0,-0.000000,1.000000
AVLP159,1,1,0,0,-0.000000,1.000000
AVLP160,1,1,0,0,-0.000000,1.000000
AVLP161,1,1,0,0,-0.000000,1.000000
AVLP162,1,1,0,0,-0.000000,1.000000
AVLP163,2,2,0,0,-0.000000,1.000000
AVLP164,2,2,0,0,-0.000000,1.000000
AVLP165,2,2,0,0,-0.000000,1.000000
AVLP166,5,5,0,0,-0.000000,1.000000
AVLP167_a,3,3,0,0,-0.000000,1.000000
AVLP167_b,3,3,0,0,-0.000000,1.000000
AVLP168,2,2,0,0,-0.000000,1.000000
AVLP169,1,1,0,0,-0.000000,1.000000
AVLP170,2,2,0,0,-0.000000,1.000000
AVLP171,3,3,0,0,-0.000000,1.000000
AVLP172,3,3,0,0,-0.000000,1.000000
AVLP173,2,2,0,0,-0.000000,1.000000
AVLP174,1,1,0,0,-0.000000,1.000000
AVLP175,2,2,0,0,-0.000000,1.000000
AVLP176_a,3,3,0,0,-0.000000,1.000000
AVLP176_b,2,2,0,0,-0.000000,1.000000
AVLP176_c,2,2,0,0,-0.000000,1.000000
AVLP176_d,3,3,0,0,-0.000000,1.000000
AVLP177_a,2,2,0,0,-0.000000,1.000000
AVLP177_b,2,2,0,0,-0.000000,1.000000
AVLP178,1,1,0,0,-0.000000,1.000000
AVLP179,2,2,0,0,-0.000000,1.000000
AVLP180,1,1,0,0,-0.000000,1.000000
AVLP181,3,3,0,0,-0.000000,1.000000
AVLP182,2,2,0,0,-0.000000,1.000000
AVLP183,5,5,0,0,-0.000000,1.000000
AVLP184,1,1,0,0,-0.000000,1.000000
AVLP185,1,1,0,0,-0.000000,1.000000
AVLP186,2,2,0,0,-0.000000,1.000000
AVLP187,3,3,0,0,-0.000000,1.000000
AVLP188,1,1,0,0,-0.000000,1.000000
AVLP189_a,3,3,0,0,-0.000000,1.000000
AVLP189_b,2,2,0,0,-0.000000,1.000000
AVLP190,4,4,0,0,-0.000000,1.000000
AVLP191,4,4,0,0,-0.000000,1.000000
AVLP192,2,2,0,0,-0.000000,1.000000
AVLP193,1,1,0,0,-0.000000,1.000000
AVLP194_a,2,2,0,0,-0.000000,1.000000
AVLP194_b,2,2,0,0,-0.000000,1.000000
AVLP194_c,2,2,0,0,-0.000000,1.000000
AVLP195,1,1,0,0,-0.000000,1.000000
AVLP196,1,1,0,0,-0.000000,1.000000
AVLP197,3,3,0,0,-0.000000,1.000000
AVLP198,3,3,0,0,-0.000000,1.000000
AVLP199,3,3,0,0,-0.000000,1.000000
AVLP200,1,1,0,0,-0.000000,1.000000
AVLP201,1,1,0,0,-0.000000,1.000000
AVLP202,1,1,0,0,-0.000000,1.000000
AVLP203,3,3,0,0,-0.000000,1.000000
AVLP204,3,3,0,0,-0.000000,1.000000
AVLP205,2,2,0,0,-0.000000,1.000000
AVLP206_a,3,3,0,0,-0.000000,1.000000
AVLP206_b,2,2,0,0,-0.000000,1.000000
AVLP207,3,3,0,0,-0.000000,1.000000
AVLP208,4,4,0,0,-0.000000,1.000000
AVLP209,1,1,0,0,-0.000000,1.000000
AVLP210,1,1,0,0,-0.000000,1.000000
AVLP211,1,1,0,0,-0.000000,1.000000
AVLP212,1,1,0,0,-0.000000,1.000000
AVLP213,1,1,0,0,-0.000000,1.000000
AVLP214,1,1,0,0,-0.000000,1.000000
AVLP215,1,1,0,0,-0.000000,1.000000
AVLP216,1,1,0,0,-0.000000,1.000000
AVLP217,1,1,0,0,-0.000000,1.000000
AVLP218,2,2,0,0,-0.000000,1.000000
AVLP219,6,6,0,0,-0.000000,1.000000
AVLP220,2,2,0,0,-0.000000,1.000000
AVLP221,1,1,0,0,-0.000000,1.000000
AVLP222,2,2,0,0,-0.000000,1.000000
AVLP223,2,2,0,0,-0.000000,1.000000
