step,node_index,body_id,prev_value,new_value
1,149327,1852204821,1,0
1,149851,1840216775,1,0
1,149954,1841969543,1,0
1,150368,2002498067,1,0
1,150448,1848103927,1,0
1,150472,1848609195,1,0
1,150628,2098749063,1,0
1,150631,1882212760,1,0
1,150753,1851842185,1,0
1,151076,2027815960,1,0
1,151220,1872996067,1,0
1,151358,2059874053,1,0
1,151794,2002221702,1,0
1,151823,2344896438,1,0
1,151837,1879022735,1,0
1,151990,1913255976,1,0
1,152127,5813055158,1,0
1,152477,2477854716,1,0
1,152726,1903296751,1,0
1,152777,2338877597,1,0
1,152823,2427056901,1,0
1,153094,1969524186,1,0
1,153286,1944969023,1,0
1,153363,1911546277,1,0
1,153397,1912224265,1,0
1,153468,1913231645,1,0
1,153523,1943946409,1,0
1,153629,1916320718,1,0
1,153692,1917007192,1,0
1,154111,1933705740,1,0
1,154180,1934720260,1,0
1,154354,1936784752,1,0
1,154507,1938812826,1,0
1,154539,1939503511,1,0
1,154793,1942576791,1,0
1,154835,2099436590,1,0
1,154856,1943591409,1,0
1,155429,2376046970,1,0
1,155626,1964701768,1,0
1,156157,1971934082,1,0
1,156274,1974643661,1,0
1,156312,1975666760,1,0
1,157067,1998982638,1,0
1,157420,2003861180,1,0
1,157625,2319861638,1,0
1,157651,2320573814,1,0
1,157666,2007353454,1,0
1,158344,2028498086,1,0
1,158507,2031227006,1,0
1,158700,2344533295,1,0
1,158836,2035642724,1,0
1,159261,2044868441,1,0
1,159263,2045075791,1,0
1,159312,2221580586,1,0
1,159407,2057827808,1,0
1,159467,2058851547,1,0
1,159561,2060129369,1,0
1,159621,2060583192,1,0
1,159691,2062261633,1,0
1,159877,2064567064,1,0
1,161111,2094661187,1,0
1,161295,2096745997,1,0
1,161379,2097985942,1,0
1,161396,2098326676,1,0
1,161444,2099436730,1,0
1,161445,2099777326,1,0
1,161590,2101058730,1,0
1,161665,2286223941,1,0
1,161729,2102897378,1,0
1,162262,2123308262,1,0
1,162958,2129577147,1,0
1,162959,2129788919,1,0
1,162993,2347741476,1,0
1,163089,2131752273,1,0
1,163120,2132093872,1,0
1,163415,2523719258,1,0
1,163573,2151981704,1,0
1,163669,2152889065,1,0
1,163908,2653837526,1,0
1,163946,2155966817,1,0
1,164248,2560413442,1,0
1,164507,2163469691,1,0
1,165063,2434753572,1,0
1,165419,2192795189,1,0
1,165458,2256574055,1,0
1,165466,5813060508,1,0
1,165486,2410842086,1,0
1,165499,2348768063,1,0
1,165666,2209795573,1,0
1,165696,2210507693,1,0
1,165741,2490697746,1,0
1,165863,2682169757,1,0
1,166170,5813007633,1,0
1,166217,2218143897,1,0
1,166258,2249861881,1,0
1,166339,2219871719,1,0
1,166494,2222470296,1,0
1,166506,2378115672,1,0
1,166653,2225189447,1,0
1,166788,5813004227,1,0
1,166843,2241883014,1,0
1,167088,2651122241,1,0
1,167144,2585940302,1,0
1,167283,2248017867,1,0
1,167484,2406072114,1,0
1,167863,5813003725,1,0
1,167885,2255188302,1,0
1,167916,2255659592,1,0
1,167993,2257385296,1,0
1,168000,2258080612,1,0
1,168059,2271886356,1,0
1,168118,2273393637,1,0
1,168123,2525242880,1,0
1,168162,2682847682,1,0
1,168190,2429271770,1,0
1,168416,2275651385,1,0
1,168525,2308732245,1,0
1,168724,2311589960,1,0
1,169140,2286012527,1,0
1,169285,2292974904,1,0
1,169303,2303469320,1,0
1,169346,2304294287,1,0
1,169440,2554831145,1,0
1,169447,2680097730,1,0
1,169557,2561065221,1,0
1,169622,2308861541,1,0
1,169664,2495956080,1,0
1,169850,2341805375,1,0
1,170303,2502095017,1,0
1,170434,2319326696,1,0
1,170490,2334461330,1,0
1,170509,2335342565,1,0
1,170711,2560076435,1,0
1,170724,2653155068,1,0
1,170725,2653155500,1,0
1,171182,2467122750,1,0
1,171185,2341965535,1,0
1,171252,2342965758,1,0
1,171287,2343195913,1,0
1,171313,2343536576,1,0
1,171354,2406416989,1,0
1,171380,2344222146,1,0
1,171483,2345582199,1,0
1,171571,2346928669,1,0
1,171573,2346937777,1,0
1,171717,5813006546,1,0
1,171721,2350149188,1,0
1,171724,2350702232,1,0
1,171760,2525251241,1,0
1,171762,2560033702,1,0
1,171813,2365897465,1,0
1,171852,2367201914,1,0
1,171921,2491371840,1,0
1,171997,2368596512,1,0
1,172486,2466135018,1,0
1,172572,2374575529,1,0
1,172877,2535176315,1,0
1,172878,2565529047,1,0
1,172884,2379336745,1,0
1,172982,2396034420,1,0
1,173127,2398215023,1,0
1,173166,5813050437,1,0
1,173387,2495809571,1,0
1,173434,2591059662,1,0
1,173460,2713178476,1,0
1,173661,2435440754,1,0
1,173999,2415785182,1,0
1,174029,5813022659,1,0
1,174128,2521871712,1,0
1,174130,2524932049,1,0
1,174131,2649067560,1,0
1,174136,2712837836,1,0
1,174144,2523377362,1,0
1,174148,2523050176,1,0
1,174224,2430631106,1,0
1,174500,2433890406,1,0
1,174504,2684877130,1,0
1,174521,2434077186,1,0
1,174543,2496797519,1,0
1,174606,2465762817,1,0
1,174660,2436092819,1,0
1,174787,2438004463,1,0
1,175003,2674658094,1,0
1,175119,2494389081,1,0
1,175221,2524820032,1,0
1,175296,2463717149,1,0
1,175322,2464113694,1,0
1,175347,2562075579,1,0
