selected_row,pooled_source_row,trial_id,plane_index,cluster_index,correlation
797,222091,04192024_6f_a1_r6,3,91,0.15920389830745699
798,234387,04192024_6f_a1_r6,9,387,0.14016140143973083
799,230698,04192024_6f_a1_r6,7,698,0.15375099428768263
803,223338,04192024_6f_a1_r6,3,1338,0.16352468394351138
847,228661,04192024_6f_a1_r6,6,661,0.15002362486261628
851,228340,04192024_6f_a1_r6,6,340,0.12935447356148877
863,237578,04192024_6f_a1_r6,10,1578,0.14805094493052304
866,230633,04192024_6f_a1_r6,7,633,0.14045478880894466
873,220594,04192024_6f_a1_r6,2,594,0.16664342494322334
878,228500,04192024_6f_a1_r6,6,500,0.13462184971043689
890,229905,04192024_6f_a1_r6,6,1905,0.14380392394956329
903,228562,04192024_6f_a1_r6,6,562,0.1531358948275203
906,234347,04192024_6f_a1_r6,9,347,0.14049888221085938
907,228644,04192024_6f_a1_r6,6,644,0.14795843594981156
910,231048,04192024_6f_a1_r6,7,1048,0.14176801083175231
914,222216,04192024_6f_a1_r6,3,216,0.16120272374108291
924,223806,04192024_6f_a1_r6,3,1806,0.18785773176477213
928,228643,04192024_6f_a1_r6,6,643,0.1663438391229711
930,226751,04192024_6f_a1_r6,5,751,0.17684177305956569
932,231557,04192024_6f_a1_r6,7,1557,0.17412495795124344
934,220190,04192024_6f_a1_r6,2,190,0.20827855985403962
944,226152,04192024_6f_a1_r6,5,152,0.15053953929338079
945,226383,04192024_6f_a1_r6,5,383,0.18507125655639362
946,232885,04192024_6f_a1_r6,8,885,0.1550375292564086
952,229243,04192024_6f_a1_r6,6,1243,0.13362203345708584
967,227822,04192024_6f_a1_r6,5,1822,0.1578933089087888
969,234118,04192024_6f_a1_r6,9,118,0.17094596713645036
976,233117,04192024_6f_a1_r6,8,1117,0.1624613643864421
978,230962,04192024_6f_a1_r6,7,962,0.14579275506569306
980,221694,04192024_6f_a1_r6,2,1694,0.19518670401864399
996,222446,04192024_6f_a1_r6,3,446,0.18421917941364671
1011,230668,04192024_6f_a1_r6,7,668,0.15862172209674144
1019,234754,04192024_6f_a1_r6,9,754,0.17681008629014366
1023,226198,04192024_6f_a1_r6,5,198,0.18705642403891987
1031,227842,04192024_6f_a1_r6,5,1842,0.16126567957007149
1033,222171,04192024_6f_a1_r6,3,171,0.19975238013966076
1039,228152,04192024_6f_a1_r6,6,152,0.14610152785921438
1044,218200,04192024_6f_a1_r6,1,200,0.20363992089522842
1046,233252,04192024_6f_a1_r6,8,1252,0.16255097637173452
1072,230940,04192024_6f_a1_r6,7,940,0.14039509948808745
1075,225098,04192024_6f_a1_r6,4,1098,0.18434535589620848
1079,221757,04192024_6f_a1_r6,2,1757,0.19994221798541176
1097,237893,04192024_6f_a1_r6,10,1893,0.17459953858396074
1098,226609,04192024_6f_a1_r6,5,609,0.18054749520038818
1099,225452,04192024_6f_a1_r6,4,1452,0.17471335856129208
1103,230129,04192024_6f_a1_r6,7,129,0.17519983997291164
1114,231596,04192024_6f_a1_r6,7,1596,0.18444774232187183
1115,234573,04192024_6f_a1_r6,9,573,0.20087563376407067
1117,222517,04192024_6f_a1_r6,3,517,0.1893105982266752
1124,230721,04192024_6f_a1_r6,7,721,0.18559229260793234
1129,231484,04192024_6f_a1_r6,7,1484,0.18615657868196864
1137,234021,04192024_6f_a1_r6,9,21,0.19278179411882435
1151,226289,04192024_6f_a1_r6,5,289,0.19179644543653787
1153,224457,04192024_6f_a1_r6,4,457,0.18174609744847525
1155,228859,04192024_6f_a1_r6,6,859,0.17377376207701384
1158,230567,04192024_6f_a1_r6,7,567,0.1827763289780571
1167,231838,04192024_6f_a1_r6,7,1838,0.18632984396721841
1173,224588,04192024_6f_a1_r6,4,588,0.22156641806289459
1177,220311,04192024_6f_a1_r6,2,311,0.24963521828901544
1181,233804,04192024_6f_a1_r6,8,1804,0.19284210176440408
1189,232510,04192024_6f_a1_r6,8,510,0.19133417068977968
1200,232277,04192024_6f_a1_r6,8,277,0.20529921324448749
1216,234547,04192024_6f_a1_r6,9,547,0.24026635543249553
1223,228106,04192024_6f_a1_r6,6,106,0.20180191639394232
1226,228332,04192024_6f_a1_r6,6,332,0.20465168228075956
1260,226072,04192024_6f_a1_r6,5,72,0.20845399078049431
1261,232084,04192024_6f_a1_r6,8,84,0.21180327367432672
1264,223754,04192024_6f_a1_r6,3,1754,0.25143851861353234
1275,236346,04192024_6f_a1_r6,10,346,0.23261740079203502
1276,222422,04192024_6f_a1_r6,3,422,0.26202878112956729
1278,232766,04192024_6f_a1_r6,8,766,0.20040701785656514
1284,230128,04192024_6f_a1_r6,7,128,0.2263224362199259
1287,230164,04192024_6f_a1_r6,7,164,0.23460109083636801
1290,228341,04192024_6f_a1_r6,6,341,0.21559556059082591
1303,224413,04192024_6f_a1_r6,4,413,0.28006808795874377
1305,234185,04192024_6f_a1_r6,9,185,0.222896704244128
1316,226148,04192024_6f_a1_r6,5,148,0.24036877746198421
1338,224040,04192024_6f_a1_r6,4,40,0.26448260672033891
1343,229642,04192024_6f_a1_r6,6,1642,0.23204815552049751
1351,232884,04192024_6f_a1_r6,8,884,0.22239158962266334
1354,230471,04192024_6f_a1_r6,7,471,0.23703546473198472
1355,222511,04192024_6f_a1_r6,3,511,0.29600211660708253
1359,224328,04192024_6f_a1_r6,4,328,0.25981110497956073
1362,230954,04192024_6f_a1_r6,7,954,0.22765785062702931
1383,226819,04192024_6f_a1_r6,5,819,0.27468000058413866
1385,232024,04192024_6f_a1_r6,8,24,0.25964984573571998
1398,226297,04192024_6f_a1_r6,5,297,0.28922857322038575
1402,226423,04192024_6f_a1_r6,5,423,0.28198446286356316
1404,231195,04192024_6f_a1_r6,7,1195,0.27315366472026081
1417,228683,04192024_6f_a1_r6,6,683,0.26104218036189436
1421,233168,04192024_6f_a1_r6,8,1168,0.2625519462048671
1432,232777,04192024_6f_a1_r6,8,777,0.2768525065457676
1444,228192,04192024_6f_a1_r6,6,192,0.28089959438919204
1445,228491,04192024_6f_a1_r6,6,491,0.31738410639960085
1458,230069,04192024_6f_a1_r6,7,69,0.30946578852634749
1460,231973,04192024_6f_a1_r6,7,1973,0.29596811348965707
1462,230652,04192024_6f_a1_r6,7,652,0.291418902204853
1463,228899,04192024_6f_a1_r6,6,899,0.29458939197989503
1484,228190,04192024_6f_a1_r6,6,190,0.30609262513911673
1504,226744,04192024_6f_a1_r6,5,744,0.32156373321262216
1513,232499,04192024_6f_a1_r6,8,499,0.33435911307233396
1536,224770,04192024_6f_a1_r6,4,770,0.37163892992732012
1538,226177,04192024_6f_a1_r6,5,177,0.39007928496760708
1542,233818,04192024_6f_a1_r6,8,1818,0.36081324617355032
1544,229082,04192024_6f_a1_r6,6,1082,0.36999453229554757
1579,229689,04192024_6f_a1_r6,6,1689,0.39560987220095178
1584,234001,04192024_6f_a1_r6,9,1,0.41226633946906605
1589,230460,04192024_6f_a1_r6,7,460,0.43516890301395555
1591,230522,04192024_6f_a1_r6,7,522,0.43364226526170918
1594,232038,04192024_6f_a1_r6,8,38,0.42872781223579626
1604,230581,04192024_6f_a1_r6,7,581,0.43743482749501833
